,strp_timestamp,Response type,BIS RP,DEFRA RP,DVLA F2D RENEW,DVLA F2D REPORT,DVLA VDL,DWP UCDS,HMRC CC,HMRC FF,HMRC PTA,HMRC SA,HMRC TE,HMRC YSP
160,2017-01-12,NEW,95.0,9.0,43.0,29.0,126.0,281.0,4.0,5.0,185.0,2299.0,14.0,143.0
161,2017-01-12,RETURNING,50.0,74.0,7.0,1.0,66.0,92.0,34.0,5.0,629.0,6826.0,37.0,165.0
162,2017-01-13,NEW,102.0,14.0,42.0,40.0,126.0,247.0,6.0,10.0,167.0,2160.0,15.0,129.0
163,2017-01-13,RETURNING,52.0,62.0,9.0,6.0,64.0,109.0,28.0,8.0,580.0,6972.0,48.0,131.0
164,2017-01-14,NEW,77.0,5.0,47.0,23.0,71.0,103.0,1.0,0.0,152.0,1819.0,9.0,274.0
165,2017-01-14,RETURNING,36.0,18.0,11.0,2.0,32.0,38.0,13.0,4.0,475.0,6140.0,25.0,209.0
166,2017-01-15,NEW,82.0,4.0,48.0,30.0,96.0,111.0,6.0,8.0,137.0,2447.0,16.0,136.0
167,2017-01-15,RETURNING,35.0,29.0,7.0,1.0,41.0,47.0,27.0,8.0,566.0,8010.0,21.0,112.0
168,2017-01-16,NEW,109.0,14.0,50.0,38.0,168.0,361.0,10.0,1.0,244.0,3079.0,22.0,165.0
169,2017-01-16,RETURNING,75.0,96.0,6.0,6.0,85.0,139.0,40.0,6.0,866.0,9660.0,66.0,152.0
170,2017-01-17,NEW,110.0,7.0,47.0,34.0,145.0,299.0,0.0,7.0,222.0,2420.0,9.0,143.0
171,2017-01-17,RETURNING,74.0,82.0,4.0,5.0,73.0,115.0,34.0,4.0,706.0,7744.0,42.0,139.0
172,2017-01-18,NEW,156.0,14.0,39.0,34.0,152.0,255.0,5.0,3.0,210.0,2323.0,22.0,224.0
173,2017-01-18,RETURNING,74.0,68.0,6.0,3.0,78.0,120.0,45.0,1.0,703.0,7252.0,50.0,198.0
174,2017-01-19,NEW,142.0,14.0,35.0,38.0,127.0,263.0,8.0,5.0,216.0,2231.0,23.0,157.0
175,2017-01-19,RETURNING,82.0,72.0,9.0,8.0,67.0,113.0,38.0,7.0,674.0,7787.0,40.0,157.0
176,2017-01-20,NEW,111.0,11.0,26.0,34.0,125.0,206.0,14.0,8.0,172.0,2010.0,17.0,119.0
177,2017-01-20,RETURNING,57.0,61.0,8.0,3.0,52.0,94.0,40.0,6.0,632.0,7023.0,38.0,112.0
178,2017-01-21,NEW,56.0,3.0,34.0,23.0,62.0,83.0,2.0,2.0,123.0,1933.0,10.0,83.0
179,2017-01-21,RETURNING,36.0,15.0,3.0,3.0,40.0,40.0,19.0,12.0,492.0,6978.0,24.0,96.0
180,2017-01-22,NEW,70.0,4.0,38.0,16.0,92.0,102.0,6.0,5.0,144.0,2863.0,15.0,122.0
181,2017-01-22,RETURNING,29.0,23.0,4.0,4.0,46.0,56.0,43.0,7.0,521.0,10643.0,27.0,121.0
182,2017-01-23,NEW,129.0,6.0,59.0,38.0,163.0,326.0,8.0,10.0,276.0,3752.0,29.0,164.0
183,2017-01-23,RETURNING,55.0,71.0,10.0,5.0,73.0,103.0,62.0,6.0,863.0,12395.0,90.0,168.0
184,2017-01-24,NEW,111.0,12.0,58.0,32.0,157.0,282.0,9.0,5.0,251.0,3496.0,38.0,133.0
185,2017-01-24,RETURNING,54.0,89.0,5.0,13.0,88.0,102.0,46.0,10.0,860.0,12572.0,98.0,127.0
186,2017-01-25,NEW,131.0,15.0,35.0,40.0,144.0,255.0,6.0,2.0,228.0,3368.0,39.0,147.0
187,2017-01-25,RETURNING,81.0,83.0,2.0,6.0,74.0,113.0,59.0,9.0,854.0,12553.0,73.0,148.0
188,2017-01-27,NEW,99.0,9.0,51.0,32.0,129.0,188.0,12.0,3.0,267.0,3382.0,19.0,164.0
189,2017-01-27,RETURNING,57.0,55.0,9.0,4.0,65.0,89.0,49.0,4.0,1198.0,14311.0,60.0,148.0
190,2017-01-28,NEW,70.0,1.0,37.0,19.0,92.0,93.0,4.0,2.0,220.0,3468.0,13.0,219.0
